,mark,model,year,type,condition,fuel,Transmission,color,price
92,Car Makes:Rolls-Royce,Car Model:Ghost,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$188,900"
93,Car Makes:Rolls-Royce,Car Model:Ghost,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$188,900"
94,Car Makes:Rolls-Royce,Car Model:Ghost,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$188,900"
95,Car Makes:Lexus,Car Model:RX300,Year:2000,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:LPG,Transmission:Auto,"$6,950"
96,Car Makes:Land Rover,Car Model:Range Rover,Year:2012,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$20,000"
97,Car Makes:Lexus,Car Model:HS,Year:2010,Tax Type:Tax Paper,Condition:Used,Body Type:Other,Fuel:Hybrid,Transmission:Auto,"$31,000"
98,Car Makes:Toyota,Car Model:Camry,Year:2007,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$19,800"
99,Car Makes:Ford,Car Model:Ranger Wildtrak,Year:2016,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$28,900"
100,Car Makes:Toyota,Car Model:Camry,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$7,850"
101,Car Makes:Toyota,Car Model:Hilux REVO,Year:2021,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$46,942.00"
102,Car Makes:Mazda,Car Model:BT50,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$25,700"
103,Car Makes:Toyota,Car Model:Land Cruiser,Year:2013,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$66,900"
104,Car Makes:Ford,Car Model:F-150 Raptor,Year:2017,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$78,000"
105,Car Makes:Toyota,Car Model:Tundra,Year:2007,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$18,900"
106,Car Makes:Toyota,Car Model:Tacoma,Year:2006,Tax Type:Tax Paper,Condition:Used,Body Type:Pickup,Fuel:Petrol,Color:Blue,"$17,900"
107,Car Makes:Toyota,Car Model:Prius,Year:2011,Tax Type:Tax Paper,Condition:New,Fuel:Hybrid,Transmission:Auto,Color:Gray,"$22,900"
108,Car Makes:Ford,Car Model:Ranger Raptor,Year:2021,Tax Type:Plate Number,Condition:Used,Fuel:Diesel,Transmission:Auto,Color:White,"$53,500"
109,Car Makes:Toyota,Car Model:Highlander,Year:2001,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$12,500"
110,Car Makes:Toyota,Car Model:Tacoma,Year:2001,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$10,500"
111,Car Makes:Toyota,Car Model:Tacoma,Year:2003,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$8,750"
112,Car Makes:Toyota,Car Model:Tacoma,Year:2003,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$8,750"
113,Car Makes:Toyota,Car Model:Prius,Year:2010,Tax Type:Tax Paper,Condition:New,Body Type:Sedan,Fuel:Hybrid,Transmission:Auto,"$21,500"
114,Car Makes:Ford,Car Model:E150,Year:2016,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$45,888"
115,Car Makes:Toyota,Car Model:Prius,Year:2013,Tax Type:Tax Paper,Condition:Used,Body Type:Sedan,Fuel:Hybrid,Transmission:Auto,"$22,200"
116,Car Makes:Lexus,Car Model:RX300,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Color:White,"$18,700"
117,Car Makes:Lexus,Car Model:RX300,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$18,700"
118,Car Makes:Ford,Car Model:Ranger Raptor,Year:2023,Tax Type:Tax Paper,Condition:New,Body Type:Pickup,Transmission:Auto,Color:Gray,"$74,800"
119,Car Makes:Toyota,Car Model:Prius,Year:2005,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Hybrid,Transmission:Auto,"$9,700"
120,Car Makes:Land Rover,Car Model:Range Rover Vogue,Year:2018,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$122,000"
121,Car Makes:Hyundai,Car Model:Truck,Year:1998,Tax Type:Plate Number,Condition:Used,Fuel:Diesel,Transmission:Manual,Color:Blue,"$5,500"
122,Car Makes:Toyota,Car Model:Camry,Year:1999,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$6,500"
