Price,Size,Location,Type,Title,Property ID,Original ID,Listed,Updated
36000,400,Banteay Meanchey,Land for Sale,Soft Title,9247561,,08-May-23,
155000,330,Phnom Penh,Land for Sale,Soft Title,8373282,,08-May-23,
350000,615,Phnom Penh,Land for Sale,Soft Title,8542986,,08-May-23,
922500,615,Phnom Penh,Land for Sale,Soft Title,9113128,,08-May-23,
3900000,615,Phnom Penh,Land for Sale,Soft Title,9290864,,08-May-23,
2500000,450,Phnom Penh,Land for Sale,Hard Title,9037735,,08-May-23,
812500,65000,Kampong Speu,Land for Sale,Soft Title,8518521,,08-May-23,
900000,36000,Kampong Speu,Land for Sale,Hard Title,8518520,,08-May-23,
2056450,3739,Phnom Penh,Land for Sale,Soft Title,9394516,,08-May-23,
380000,3739,Phnom Penh,Land for Sale,Soft Title,8603726,,08-May-23,
25000,481,Kampong Chhnang,Land for Sale,Hard Title,8535555,,08-May-23,
35000,150,Kandal,Land for Sale,Soft Title,8915502,,08-May-23,
650000,600,Phnom Penh,Land for Sale,Hard Title,9293577,,08-May-23,
1095210,2547,Siem Reap,Land for Sale,Hard Title,9243061,,08-May-23,
84051,2547,Phnom Penh,Land for Sale,Soft Title,7911648,,08-May-23,
4038000,2019,Phnom Penh,Land for Sale,Hard Title,9385850,,08-May-23,
198510,1527,Phnom Penh,Land for Sale,Hard Title,8141719,,08-May-23,
5600000,2800,Phnom Penh,Land for Sale,Hard Title,8196919,,08-May-23,
339000,226,Phnom Penh,Land for Sale,Soft Title,8284924,,08-May-23,
434880,1812,Phnom Penh,Land for Sale,Hard Title,8291489,,08-May-23,
724800,1812,Preah Sihanouk,Land for Sale,Hard Title,8447478,,08-May-23,
380000,977,Kampot,Land for Sale,Soft Title,8734181,,08-May-23,
1194000,6000,Phnom Penh,Land for Sale,Soft Title,8759267,,08-May-23,
772570,6718,Phnom Penh,Land for Sale,Hard Title,9218624,,08-May-23,
180000,6718,Phnom Penh,Land for Sale,Hard Title,9241251,,08-May-23,
464868,4188,Kandal,Land for Sale,Hard Title,9271724,,08-May-23,
900000,1876,Phnom Penh,Land for Sale,Soft Title,9355724,,08-May-23,
345940,353,Phnom Penh,Land for Sale,Hard Title,9298267,,08-May-23,
561808,10804,Phnom Penh,Land for Sale,Soft Title,8523812,,08-May-23,
290200,1451,Kandal,Land for Sale,Soft Title,9009061,,08-May-23,
17000,1451,Svay Rieng,Land for Sale,Soft Title,9237204,,08-May-23,
20800,400,Siem Reap,Land for Sale,Soft Title,9152194,,08-May-23,
870000,354,Phnom Penh,Land for Sale,Soft Title,8059802,,08-May-23,
109225,4369,Takeo,Land for Sale,Hard Title,8796539,,08-May-23,
