Price,Price per m2,Location,Type,Title,Property ID,Original ID,Listed,Updated
"950,000",,"Boeung Tumpun, Meanchey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221789,4 months ago,3 months ago
"100,000",,"Kbal Kaoh, Chbar Ampov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221788,4 months ago,3 months ago
"135,000",,"Chaom Chau, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221785,4 months ago,3 months ago
"175,000",,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221782,4 months ago,3 months ago
"65,000",,"Kakap, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221670,4 months ago,3 months ago
"65,000",,"Kouk Roka, Prek Pnov, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221662,4 months ago,3 months ago
"140,000",,"Preaek Kampues, Dangkao, Phnom Penh",Land/Development,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221658,4 months ago,3 months ago
"63,000",,"Kouk Roka, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221654,4 months ago,3 months ago
"655,000",,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221606,4 months ago,3 months ago
"120,000",,"Nirouth, Chbar Ampov, Phnom Penh",Land/Development,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221499,4 months ago,3 months ago
"86,000",," Ponhea Pon, Prek Pnov, Phnom Penh",Land/Development,Hard Title,"<a href=""/real-estate-agents/leang-navy-navy-6229/"">leang navy</a>",219790,5 months ago,5 months ago
"900,000",," Chbar Ampov II, Chbar Ampov, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",218315,7 months ago,7 months ago
"310,000",,"Bavet, Bavet, Svay Rieng",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",217766,7 months ago,7 months ago
180,None,"Ta Khmao, Ta Khmau, Kandal",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",215963,8 months ago,8 months ago
